epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,9581.2,0.72535,0.3966,0.97769,0.93017,0.8797,0.9254,0.55294,1.49661,0.67152,1.66599,0.000146819,0.000146819,0.000146819
60,9742.9,0.71715,0.39308,0.96818,0.91499,0.87398,0.92137,0.5572,1.49545,0.67738,1.6674,0.000135195,0.000135195,0.000135195
61,9906.24,0.69585,0.38322,0.95833,0.91702,0.88872,0.92704,0.56335,1.48644,0.67697,1.65627,0.000123986,0.000123986,0.000123986
62,10071.9,0.69079,0.38526,0.9546,0.9224,0.8812,0.93177,0.55819,1.48961,0.66434,1.68427,0.000113208,0.000113208,0.000113208
63,10236.1,0.68117,0.38009,0.95398,0.91411,0.88018,0.92755,0.56284,1.49079,0.66136,1.68296,0.000102879,0.000102879,0.000102879
64,10397.6,0.6815,0.37602,0.94935,0.91826,0.87848,0.92694,0.55952,1.4902,0.66604,1.68751,9.30145e-05,9.30145e-05,9.30145e-05
65,10561.9,0.66875,0.374,0.94452,0.92254,0.87757,0.9226,0.56405,1.48976,0.66361,1.70281,8.36293e-05,8.36293e-05,8.36293e-05
66,10724.6,0.66608,0.36945,0.94076,0.91588,0.87669,0.9259,0.56549,1.48741,0.66965,1.69281,7.4738e-05,7.4738e-05,7.4738e-05
67,10886.2,0.65096,0.36231,0.9359,0.92329,0.86874,0.9249,0.56715,1.48441,0.66746,1.69266,6.63545e-05,6.63545e-05,6.63545e-05
68,11048,0.64053,0.36008,0.93248,0.92484,0.88571,0.93168,0.56443,1.49227,0.65298,1.70424,5.84916e-05,5.84916e-05,5.84916e-05
69,11209.9,0.63423,0.35773,0.93053,0.92384,0.8812,0.92662,0.56495,1.48696,0.65914,1.71271,5.11614e-05,5.11614e-05,5.11614e-05
70,11371.4,0.63467,0.35772,0.92957,0.90577,0.88722,0.92569,0.56391,1.49267,0.66905,1.71699,4.43753e-05,4.43753e-05,4.43753e-05
71,11774.5,0.6292,0.35277,0.92908,0.93645,0.8782,0.93414,0.56897,1.49466,0.66642,1.72421,3.81437e-05,3.81437e-05,3.81437e-05
72,11939.9,0.62633,0.35097,0.92609,0.92852,0.8812,0.92825,0.56896,1.49135,0.65972,1.71752,3.24762e-05,3.24762e-05,3.24762e-05
73,12103.5,0.62284,0.35368,0.92431,0.91608,0.88641,0.92895,0.5691,1.49326,0.66054,1.7228,2.73816e-05,2.73816e-05,2.73816e-05
74,12266.9,0.61991,0.34712,0.92466,0.92187,0.88421,0.93025,0.56906,1.4936,0.6572,1.72169,2.28677e-05,2.28677e-05,2.28677e-05
75,12429.8,0.60389,0.3453,0.91762,0.92325,0.88421,0.93208,0.56817,1.48566,0.65576,1.70848,1.89415e-05,1.89415e-05,1.89415e-05
76,12592.6,0.60755,0.34421,0.91695,0.92868,0.88118,0.93316,0.56917,1.49011,0.65638,1.71871,1.5609e-05,1.5609e-05,1.5609e-05
77,12755.8,0.6095,0.34489,0.91939,0.91956,0.87668,0.92711,0.57004,1.48506,0.64903,1.71296,1.28754e-05,1.28754e-05,1.28754e-05
78,12918.6,0.60903,0.34792,0.91904,0.91802,0.8812,0.92754,0.56748,1.48646,0.65,1.71741,1.07449e-05,1.07449e-05,1.07449e-05
79,13081.3,0.60408,0.34359,0.91664,0.91671,0.87723,0.92698,0.56815,1.48666,0.6535,1.72226,9.22074e-06,9.22074e-06,9.22074e-06
80,13244.1,0.59373,0.33891,0.91158,0.92955,0.87307,0.92701,0.56974,1.48589,0.6503,1.72445,8.3053e-06,8.3053e-06,8.3053e-06
